UID_01,BIOCHEMICAL,NCI_NAME,BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_NAME1,ARIC_NAME2,UCLEB_NMR_NAME,SHANGHAI_CHD_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
CSID4956085,"(2S,3R,4E)-3-Hydroxy-2-(stearoylamino)-4-octadecen-1-yl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,SM C18:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4956085,NA,"InChI=1S/C41H83N2O6P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-41(45)42-39(38-49-50(46,47)48-37-36-43(3,4)5)40(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h32,34,39-40,44H,6-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/b34-32+/t39-,40+/m0/s1",LKQLRGMMMAHREN-YJFXYUILSA-N,NA,NA,NA,NA,NA
CSID24846875,"(2S,3R,4E)-3-Hydroxy-2-(tetracosanoylamino)-4-octadecen-1-yl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,SM C24:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24846875,NA,"InChI=1S/C47H95N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-29-31-33-35-37-39-41-47(51)48-45(44-55-56(52,53)54-43-42-49(3,4)5)46(50)40-38-36-34-32-30-28-19-17-15-13-11-9-7-2/h38,40,45-46,50H,6-37,39,41-44H2,1-5H3,(H-,48,51,52,53)/b40-38+/t45-,46+/m0/s1",QEDPUVGSSDPBMD-XTAIVQBESA-N,NA,NA,NA,NA,NA
HMDB02327,"1,11-undecanedicarboxylate",_1_11_undecanedicarboxylate,NA,NA,NA,NA,NA,NA,NA,HMDB02327,HMDB02327,NA,NA,43027,10458,NA,NA,NA,NA,505-52-2,NA,LIPID,"FATTY ACID, DICARBOXYLATE",NA
COMP32859_37731,"1,11-undecanedicarboxylic acid (X - 11542 or X - 15483)",x_11542 (x_15483),NA,NA,NA,X - 15483,NA,NA,"1,11-undecanedicarboxylic acid",NA,NA,NA,NA,32859;37731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHEM100006373,"1,2,3-benzenetriol sulfate (1)",_1_2_3_benzenetriol_sulfate_1,NA,"1,2,3-benzenetriol sulfate (1)",NA,NA,NA,NA,NA,NA,NA,NA,100006373,48761,NA,NA,NA,NA,NA,NA,NA,XENOBIOTICS,CHEMICAL,NA
CHEM100006374,"1,2,3-benzenetriol sulfate (2)",_1_2_3_benzenetriol_sulfate_2,NA,"1,2,3-benzenetriol sulfate (2)",NA,NA,"1,2,3-benzenetriol sulfate (2)",NA,NA,NA,NA,NA,100006374,48762,NA,NA,NA,NA,NA,NA,NA,XENOBIOTICS,CHEMICAL,NA
CHEM100008903,"1,2-dilinoleoyl-GPC (18:2/18:2)",_1_2_dilinoleoyl_gpc__18_2_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100008903,52603,5288075,NA,NA,NA,NA,998-06-1,NA,LIPID,PHOSPHOLIPID METABOLISM,NA
CHEM100009217,"1,2-dilinoleoyl-GPE (18:2/18:2)*",_1_2_dilinoleoyl_gpe__18_2_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100009217,53174,9546812,NA,NA,NA,NA,NA,NA,LIPID,PHOSPHOLIPID METABOLISM,NA
CHEM100000647,"1,2-dimyristoyl-GPC (14:0/14:0)",NA,NA,"1,2-dimyristoyl-GPC (14:0/14:0)",NA,NA,NA,NA,NA,NA,NA,NA,100000647,18985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHEM100008997,"1,2-dipalmitoleoyl-GPC (16:1/16:1)*",NA,NA,"1,2-dipalmitoleoyl-GPC (16:1/16:1)*",NA,NA,NA,NA,NA,NA,NA,NA,100008997,52472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMDB00564,"1,2-dipalmitoyl-GPC (16:0/16:0)",_1_2_dipalmitoyl_gpc__16_0_16,NA,"1,2-dipalmitoyl-GPC (16:0/16:0)",NA,NA,NA,NA,NA,HMDB00564,HMDB00564,NA,100000657,19130,452110,NA,NA,NA,NA,63-89-8,NA,LIPID,PHOSPHOLIPID METABOLISM,NA
HMDB07098,"1,2-dipalmitoylglycerol",_1_2_dipalmitoylglycerol,C32:0 DAG,NA,NA,NA,"1,2-dipalmitoylglycerol",NA,NA,HMDB07098,HMDB07098,NA,850,11953;35727,99931,NA,NA,NA,NA,40290-32-2,NA,LIPID,DIACYLGLYCEROL,NA
CHEM100000660,"1,2-distearoyl-GPC (18:0/18:0)",_1_2_distearoyl_gpc__18_0_18_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000660,19132,94190,NA,NA,NA,NA,816-94-4,NA,LIPID,PHOSPHOLIPID METABOLISM,NA
HMDB01881,"1,2-propanediol",_1_2_propanediol,NA,NA,NA,"1,2 propanediol","1,2-propanediol",NA,"1,2-propanediol",HMDB01881,HMDB01881,NA,100001176,38002,1030,NA,NA,NA,NA,57-55-6,"C00717,C02912,C00583,C01506,C02917",LIPID; XENOBIOTICS,CHEMICAL; KETONE BODIES,NA
HMDB02123,"1,3,7-trimethylurate",_1_3_7_trimethylurate,NA,"1,3,7-trimethylurate",NA,"1,3,7-trimethylurate","1,3,7-trimethylurate",NA,"1,3,7-trimethylurate",HMDB02123,HMDB02123,NA,100001397,34404,79437,NA,NA,NA,NA,5415-44-1,C16361,XENOBIOTICS,XANTHINE METABOLISM,NA
HMDB01882,"1,3-dihydroxyacetone",_1_3_dihydroxyacetone,NA,NA,NA,NA,NA,NA,"1,3-dihydroxyacetone",HMDB01882,HMDB01882,NA,100000143,35963,670,NA,NA,NA,NA,96-26-4;62147-49-3,C00184,CARBOHYDRATE,"GLYCOLYSIS, GLUCONEOGENESIS, PYRUVATE METABOLISM",NA
